Vocabulário,Indice
Canal Azangado (Localização),Geográfica
"Canal Baby (Nova Iguaçu, RJ)",Geográfica
Canal Bairro Industrial,Geográfica
Canal Bambu (RJ),Geográfica
Canal Bananal (RJ),Geográfica
"Canal Bananeira (Macaé, RJ)",Geográfica
"Canal Bananeiras (Bananeiras, PB)",Geográfica
Canal Bandeira (RN),Geográfica
Canal Bandeiras  (RN),Geográfica
"Canal Barcelos (Campos dos Goytacazes, RJ)",Geográfica
"Canal Baroneza (Campos dos Goytacazes, RJ)",Geográfica
Canal Barra (RJ),Geográfica
Canal Barro Vermelho (RJ),Geográfica
Canal Bate Moenda (RJ),Geográfica
Canal Batista (RJ),Geográfica
Canal Bauru (SP),Geográfica
Canal Beberibe (CE),Geográfica
Canal Bengala (RJ),Geográfica
"Canal Bertioga (Macaé, RJ)",Geográfica
Canal Bide (RJ),Geográfica
Canal Boa Esperança (RJ),Geográfica
Canal Boa Sorte (RJ),Geográfica
Canal Bolandeira de Santana (RJ),Geográfica
Canal Bom Jardim (RJ),Geográfica
Canal Bonito (RJ),Geográfica
Canal Botafogo (RJ),Geográfica
"Canal Botija (Macaé, RJ)",Geográfica
Canal Branco (RJ),Geográfica
Canal Braúna (RJ),Geográfica
Canal Braúna II (RJ),Geográfica
Canal Caatinga (SP),Geográfica
Canal Cabo Frio-Niterói (RJ),Geográfica
Canal Cabuçu (RJ),Geográfica
Canal Caceribu (RJ),Geográfica
Canal Caconda (RJ),Geográfica
"Canal Cacumanga (Campos dos Goytacazes, RJ)",Geográfica
"Canal Caioaba (Magé, RJ)",Geográfica
Canal Caioaba (RJ),Geográfica
Canal Caiobá (PR),Geográfica
Canal Caiobi (PR),Geográfica
Canal Cajazeiras (PB),Geográfica
Canal Cajubá (MG),Geográfica
Canal Camarão (RJ),Geográfica
Canal Camarujipe (BA),Geográfica
"Canal Cambaíba (Campos dos Goytacazes, RJ)",Geográfica
Canal Cambaíba (RJ),Geográfica
"Canal Camboatá (Nova Iguaçu, RJ)",Geográfica
Canal Camboatá (RJ),Geográfica
Canal Campo da Cidade (RJ),Geográfica
Canal Campo Novo (RJ),Geográfica
"Canal Campos-Lagoa Feia (Campos dos Goytacazes, RJ)",Geográfica
"Canal Campos-Macaé (Campos dos Goytacazes, RJ)",Geográfica
Canal Campos-Macaé (RJ),Geográfica
Canal Campos-Niterói (RJ),Geográfica
Canal Candonga (RJ),Geográfica
Canal Canema (RJ),Geográfica
Canal Canguera (RJ),Geográfica
Canal Cantagalo (RJ),Geográfica
"Canal Capim (Campos, RJ)",Geográfica
Canal Capivaras (RJ),Geográfica
Canal Capivari (RJ),Geográfica
Canal Carahá (SC),Geográfica
"Canal Carrapateira (Rio de Janeiro, RJ)",Geográfica
Canal Cartucho (RJ),Geográfica
Canal Cartucho II,Geográfica
Canal Casserebu (RJ),Geográfica
Canal Cassiano (RJ),Geográfica
Canal Catarina (RJ),Geográfica
Canal Catarina de Morais (SP),Geográfica
Canal Catu (BA),Geográfica
Canal Catumbi (RJ),Geográfica
"Canal Caxangá (Boa Vista, RR)",Geográfica
Canal Cazumbá (RJ),Geográfica
Canal Cerejeiras (RJ),Geográfica
Canal Chapéu do Sol (RJ),Geográfica
"Canal Cícero (Campos dos Goytacazes, RJ)",Geográfica
Canal Cinamomo 2,Geográfica
Canal Cipó (RJ),Geográfica
Canal Coatinga (SP),Geográfica
"Canal Colomins (Campos dos Goytacazes, RJ)",Geográfica
Canal Colomins (RJ),Geográfica
"Canal Comandante Miranda (Aracaju, SE)",Geográfica
Canal Conha (RJ),Geográfica
Canal Contur,Geográfica
Canal Coqueiros (BA),Onomástica
"Canal Coqueiros (Campos dos Goytacazes, RJ)",Geográfica
Canal Coqueiros (RJ),Geográfica
Canal Coqueiros-Cambaíba (RJ),Geográfica
"Canal Cordeirinho (Maricá, RJ)",Geográfica
Canal Corisco (RJ),Geográfica
Canal Córrego Cajubá (MG),Geográfica
"Canal Córrego do Barbado (Cuiabá, MT)",Geográfica
Canal Córrego do Pombo (SP),Geográfica
Canal Córrego Fundo (RJ),Geográfica
Canal Correnteza (RJ),Geográfica
"Canal Cortado (Rio de Janeiro, RJ)",Geográfica
Canal Cotia I,Geográfica
"Canal Crubixais (Macaé, RJ)",Geográfica
"Canal Curimatã (Campos dos Goytacazes, RJ)",Geográfica
"Canal Curimatã (Campos, RJ)",Geográfica
Canal Curral Falso (RJ),Geográfica
Canal da Alegria (RJ),Geográfica
"Canal da Avenida Arapogi (Rio de Janeiro, RJ)",Geográfica
"Canal da Avenida Lineu de Paula Machado (Rio de Janeiro, RJ)",Geográfica
"Canal da Avenida Paulo de Frontin (Rio de Janeiro, RJ)",Geográfica
"Canal da Avenida Visconde de Albuquerque (Rio de Janeiro, RJ)",Geográfica
Canal da Barca (RS),Geográfica
Canal da Barra (RJ),Geográfica
"Canal da Barra do Furado (Campos dos Goytacazes, RJ)",Geográfica
Canal da Bastiana (CE),Geográfica
"Canal da Bastiana (Iguatu, CE)",Geográfica
Canal da Bertioga (SP),Geográfica
Canal da Boianga (RJ),Geográfica
Canal da Bolandeira (RJ),Geográfica
"Canal da Cacumanga (Campos dos Goytacazes, RJ)",Geográfica
Canal da Carioca (RJ),Geográfica
Canal da Cidade (MG),Geográfica
Canal da Cidade (RJ),Geográfica
Canal da Comporta (RJ),Geográfica
Canal da Conceição (RJ),Geográfica
Canal da Costa (ES),Geográfica
Canal da Costa (RJ),Geográfica
"Canal da Costa (Vila Velha, ES)",Geográfica
Canal da Divisa (SP),Geográfica
"Canal da Flecha (Campos dos Goytacazes, RJ)",Geográfica
Canal da Goiaba (RJ),Geográfica
Canal da Granja (RJ),Geográfica
Canal da Lagoa do Salgado (RJ),Geográfica
"Canal da Levada (Maceió, AL)",Geográfica
Canal da Loanda (RJ),Geográfica
Canal da Malária (PE),Geográfica
Canal da Malária Ibura (PE),Geográfica
Canal da Mata (RJ),Geográfica
Canal da Maxambomba (RJ),Geográfica
Canal da Olinda (RJ),Geográfica
"Canal da Onça (Campos dos Goytacazes, RJ)",Geográfica
Canal da Onça (RJ),Geográfica
Canal da Palha (PI),Geográfica
Canal da Papucaia (RJ),Geográfica
"Canal da Pedreira (Campos dos Goytacazes, RJ)",Geográfica
"Canal da Prata (Campos dos Goytacazes, RJ)",Geográfica
"Canal da Ribanceira (Campos dos Goytacazes, RJ)",Geográfica
"Canal da Ribeira (Macaé, RJ)",Geográfica
"Canal da Ribeira (Quissamã, RJ)",Geográfica
"Canal da Tapera (Campos dos Goytacazes, RJ)",Geográfica
Canal da Vala da Goiaba (RJ),Geográfica
Canal da Vermelha (RJ),Geográfica
"Canal da Vila Portes (Foz do Iguaçu, PR)",Geográfica
Canal da Vovó (AM),Geográfica
Canal da Vovó (RJ),Geográfica
Canal Darci (RJ),Geográfica
Canal das Dores de Maricá (RJ),Geográfica
"Canal das Quatro Lagoas (Campos dos Goytacazes, RJ)",Geográfica
Canal de Abrolhos (BA),Geográfica
"Canal de Aurá (São Bento, MA)",Geográfica
Canal de Bananeiras (PB),Geográfica
Canal de Carrapato (RJ),Geográfica
"Canal de Coqueiros (Campos dos Goytacazes, RJ)",Geográfica
Canal de Coqueiros (RJ),Geográfica
Canal de Custódia (PE),Geográfica
Canal de Itaúnas (ES) ,Geográfica
"Canal de Itereré (Campos dos Goytacazes, RJ)",Geográfica
"Canal de Jesus (Campos dos Goytacazes, RJ)",Geográfica
Canal de Jesus (RJ),Geográfica
Canal de Macaé a Campos dos Goytacazes (RJ),Geográfica
Canal de Magé (RJ),Geográfica
Canal de Maxambomba (RJ),Geográfica
Canal de Porciúncula (RJ),Geográfica
Canal de Praga (República Tcheca),Geográfica
"Canal de Santo Amaro (Recife, PE)",Geográfica
"Canal de São Bento (Campos dos Goytacazes, RJ)",Geográfica
Canal de São Bento (RJ),Geográfica
Canal de São Francisco (RJ),Geográfica
"Canal de São Gonçalo (Pelotas, RS)",Geográfica
Canal de São Marcos (Veneza),Geográfica
Canal de Saquarema (RJ),Geográfica
"Canal de Sernambetiba (Rio de Janeiro, RJ)",Geográfica
Canal de Suez (Egito),Geográfica
"Canal de Tócos (Campos dos Goytacazes, RJ)",Geográfica
Canal de Vera Cruz (RJ),Geográfica
Canal Delegado (RJ),Geográfica
"Canal Delfino (Ceará-Mirim, RN)",Geográfica
"Canal Derby Tacaruna (Recife, PE)",Geográfica
Canal Deserto Feliz (RJ),Geográfica
"Canal Diogo (Sete Lagoas, MG)",Geográfica
Canal do Acaba Mundo (MG),Geográfica
Canal do Aldeia (RJ),Geográfica
Canal do Arroio Chuí (RS),Geográfica
Canal do Arroz,Geográfica
Canal do Bairro Industrial (SE),Geográfica
Canal do Baldo (RN),Geográfica
Canal do Bebedouro (BA),Geográfica
Canal do Brejo Largo (RJ),Geográfica
Canal do Cação Vermelho (RJ),Geográfica
"Canal do Cachoeira (Rio de Janeiro, RJ)",Geográfica
Canal do Campinho (localização),Geográfica
"Canal do Cerco (Campos dos Goytacazes, RJ)",Geográfica
Canal do Colégio (RJ),Geográfica
Canal do Colomins (RJ),Geográfica
Canal do Cunha (RJ),Geográfica
"Canal do Derby (Recife, PE)",Geográfica
Canal do Encantado (RJ),Geográfica
Canal do Ermo (RJ),Geográfica
"Canal do Faria (Rio de Janeiro, RJ)",Geográfica
Canal do Franco (AM),Geográfica
Canal do Furado (PR),Geográfica
"Canal do Galeão (Xerém, RJ)",Geográfica
"Canal do Ganguelo (Campos dos Goytacazes, RJ)",Geográfica
"Canal do Gato (Campos dos Goytacazes, RJ)",Geográfica
Canal do Gravataí (RS),Geográfica
Canal do Guandu-Mirim (RJ),Geográfica
"Canal do Gulandim (Maceió, AL)",Geográfica
Canal do Imbariê (RJ),Geográfica
Canal do Irajá (RJ),Geográfica
"Canal do Itajuru (Cabo Frio, RJ)",Geográfica
"Canal do Itereré (Campos dos Goytacazes, RJ)",Geográfica
"Canal do Jacaré (Campos dos Goytacazes, RJ)",Geográfica
"Canal do Jacaré (Rio de Janeiro, RJ)",Geográfica
"Canal do Japiim (Manaus, AM)",Geográfica
"Canal do Jardim de Alah (Rio de Janeiro, RJ)",Geográfica
Canal do Júlio (PR),Geográfica
Canal do Juvenal (RJ),Geográfica
"Canal do Louro (Campos dos Goytacazes, RJ)",Geográfica
Canal do Magé (RJ),Geográfica
"Canal do Mamoré (Patos de Minas, MG)",Geográfica
"Canal do Mangue (Rio de Janeiro, RJ)",Geográfica
"Canal do Maracanã (Rio de Janeiro, RJ)",Geográfica
Canal do Maruí (RJ),Geográfica
Canal do Mato (RJ),Geográfica
Canal do Mato Escuro (RJ),Geográfica
Canal do Meio (BA),Geográfica
Canal do Mombuca (RJ),Geográfica
"Canal do Monjolos (Barra do Garças, MT)",Geográfica
Canal do Morobá (RJ),Geográfica
Canal do Morro Grande (RJ),Geográfica
Canal do Morto (RJ),Geográfica
"Canal do Nachú (Campos dos Goytacazes, RJ)",Geográfica
Canal do Nicolau (RJ),Geográfica
Canal do Ninguém (RJ),Geográfica
Canal do Paiaguás (MS),Geográfica
Canal do Panamá,Geográfica
Canal do Pantaleão (RJ),Geográfica
Canal do Pau Ferro (RJ),Geográfica
"Canal do Pau Flecha (Sepetiba, RJ)",Geográfica
Canal do Pau Flexa (RJ),Geográfica
Canal do Piloto (RJ),Geográfica
Canal do Piranema (RJ),Geográfica
Canal do Pires (RJ),Geográfica
Canal do Porto,Geográfica
"Canal do Prado (Campina Grande, PB)",Geográfica
"Canal do Prado (Recife, PE)",Geográfica
Canal do Reginaldo (AL),Geográfica
"Canal do Reginaldo (Maceió, AL)",Geográfica
Canal do Riacho Dom Pedro (MA),Geográfica
Canal do Rio Baby (RJ),Geográfica
"Canal do Rio do Lago (Realeza, RJ)",Geográfica
Canal do Rio Iguaçu (RJ),Geográfica
"Canal do Rio Ligeiro (Pato Branco, PR)",Geográfica
Canal do Rio MBoici (PR),Geográfica
Canal do Rio Suruí (RJ),Geográfica
Canal do Riozinho (MS),Geográfica
Canal do Roncador (RJ),Geográfica
Canal do Sá (RJ),Geográfica
Canal do Sal (RJ),Geográfica
Canal do Salgado (MG),Geográfica
Canal do Sangradouro (RS),Geográfica
Canal do São Lourenço (Canadá e Estados Unidos),Geográfica
Canal do Sarapuí (RJ),Geográfica
Canal do Sobradinho (BA),Geográfica
Canal do Taboão (RJ),Geográfica
Canal do Tacaruna (PE),Geográfica
Canal do Taim (RS),Geográfica
Canal do Taquara (RJ),Geográfica
Canal do Tingidor (RJ),Geográfica
Canal do Ubatiba (RJ),Geográfica
"Canal do Una -  São Joaquim (Belém, PA)",Geográfica
Canal do Ururaí (RJ),Geográfica
Canal do Varadouro (PR e SP),Geográfica
"Canal do Viana (Itaguaí, RJ)",Geográfica
"Canal do Vigário (Campos dos Goytacazes, RJ)",Geográfica
Canal do Vigário (RJ),Geográfica
Canal Doce (RJ),Geográfica
"Canal Dodt (Ceará-Mirim, RN)",Geográfica
Canal Dom Rodrigo (RJ),Geográfica
Canal Domingas (RJ),Geográfica
Canal Dona Eugênia (RJ),Geográfica
"Canal dos Afonsos (Rio de Janeiro, RJ)",Geográfica
Canal dos Cachorros,Geográfica
Canal dos Poços (RJ),Geográfica
Canal Dourado (RJ),Geográfica
Canal Duas Barras (RJ),Geográfica
Canal Embaixador (RJ),Geográfica
"Canal Engenheiro Antônio de Resende (Campos dos Goytacazes, RJ)",Geográfica
"Canal Epifânio (Campos dos Goytacazes, RJ)",Geográfica
Canal Escuro (RJ),Geográfica
Canal Espiador (RJ),Geográfica
Canal Experimental,Geográfica
Canal Faria (RJ),Geográfica
"Canal Faria-Timbó (Rio de Janeiro, RJ)",Geográfica
Canal Farinha Mata Fome (RJ),Geográfica
Canal Faustino (RJ),Geográfica
"Canal Flora (Campos, RJ)",Geográfica
"Canal Fortaleza (Macapá, AP)",Geográfica
Canal Francisco (RJ),Geográfica
Canal Gabriel (RJ),Geográfica
Canal Gamboa (RJ),Geográfica
Canal Gargaú (PB),Geográfica
Canal Gavião (CE),Geográfica
"Canal Goiaba (Sepetiba, RJ)",Geográfica
"Canal Goiabal (Campos dos Goytacazes, RJ)",Geográfica
Canal Gonçalo (RJ),Geográfica
Canal Grageru (SE),Geográfica
Canal Gramame (PB),Geográfica
Canal Grande (RJ),Geográfica
"Canal Granjeiro (Crato, CE)",Geográfica
Canal Grumari (RJ),Geográfica
"Canal Guamium (São Vicente, SP)",Geográfica
Canal Guandu do Sena (RJ),Geográfica
Canal Guandu-Açu (RJ),Geográfica
Canal Guandu-Iguaçu (RJ),Geográfica
Canal Guandu-Mirim (RJ),Geográfica
Canal Guapiaçu (RJ),Geográfica
"Canal Guapimirim (Macacu, RJ)",Geográfica
Canal Guapimirim (RJ),Geográfica
Canal Guaraim (RJ),Geográfica
Canal Guaramar (SP),Geográfica
"Canal Guarulhos (Recife, PE)",Geográfica
Canal Gulandim (AL),Geográfica
Canal Guriri (RJ),Geográfica
Canal Houver,Geográfica
"Canal Icaraí (Niterói, RJ)",Geográfica
Canal Icaraí (RJ),Geográfica
Canal Igaraçu (PI),Geográfica
Canal Igonha (RJ),Geográfica
Canal Iguaçu (RJ),Geográfica
Canal Ilha da Lama,Geográfica
"Canal Ilha dos Patos (Campos dos Goytacazes, RJ)",Geográfica
Canal Imbariê (RJ),Geográfica
Canal Imbiú (RJ),Geográfica
Canal Imboassica (RJ),Geográfica
Canal Imbuí (RJ),Geográfica
"Canal Imburi (Campos dos Goytacazes, RJ)",Geográfica
Canal Imunana (RJ),Geográfica
Canal Indaiaçu (RJ),Geográfica
Canal Independência (MG),Geográfica
Canal Independência (RJ),Geográfica
Canal Indio,Geográfica
Canal Itá (RJ),Geográfica
Canal Itaguaí (RJ),Geográfica
Canal Itaipu (SP),Geográfica
"Canal Itaoca (Campos dos Goytacazes, RJ)",Geográfica
Canal Itapetiú (RJ),Geográfica
Canal Itapicuru-Mirim (BA),Geográfica
Canal Itaúnas (ES),Geográfica
"Canal Itereré (Campos dos Goytacazes, RJ)",Geográfica
Canal Iteteré,Geográfica
Canal Iung (MG),Geográfica
Canal Jabá,Geográfica
Canal Jacaré (BA),Geográfica
Canal Jacarecanga (CE),Geográfica
"Canal Jacatirão (Duque de Caxias, RJ)",Geográfica
Canal Jacupemba (RJ),Geográfica
"Canal Jagoroaba (Campos, RJ)",Geográfica
Canal Jaguari,Geográfica
Canal Japaratuba e Pomonga (SE),Geográfica
Canal Japuíba (RJ),Geográfica
"Canal Jararaca (Boa Vista, RR)",Geográfica
"Canal Javarema (Campos dos Goytacazes, RJ)",Geográfica
"Canal Javarena (Campos dos Goytacazes, RJ)",Geográfica
Canal Javarena III,Geográfica
Canal Jenipapo (RJ),Geográfica
Canal Jesus (Localização?),Geográfica
Canal Jiboia,Geográfica
Canal João Corrêa (RS),Geográfica
Canal João Duarte (RJ),Geográfica
Canal Joaquim Pinto (RJ),Geográfica
Canal Joca Rangel (RJ),Geográfica
Canal Jucu (ES),Geográfica
"Canal Junco (Campos dos Goytacazes, RJ)",Geográfica
"Canal Jurumirim (Macaé, RJ)",Geográfica
Canal Juvarena (RJ),Geográfica
Canal Lagoa Conha (RJ),Geográfica
Canal Lagoa Escura (RJ),Geográfica
Canal Lagoa Seca (RJ),Geográfica
Canal Laranjeira (RJ),Geográfica
Canal Louro (RJ),Geográfica
Canal Macabu (RJ),Geográfica
Canal Macacoá (RJ),Geográfica
Canal Macacos (RJ),Geográfica
Canal Macacu (RJ),Geográfica
Canal Macacu Superior (RJ),Geográfica
Canal Macaé (RJ),Geográfica
Canal Macaé a Campos dos Goytacazes (RJ),Geográfica
"Canal Madressilva (Macaé, RJ)",Geográfica
Canal Magé (RJ),Geográfica
Canal Magé-mirim (RJ),Geográfica
Canal Major (RJ),Geográfica
Canal Malária - Recife (PE).,Geográfica
Canal Malária (PE),Geográfica
Canal Malhada da Areia,Geográfica
"Canal Mandinga (Campos dos Goytacazes, RJ)",Geográfica
"Canal Manduhy (Cianorte, PR)",Geográfica
Canal Mangabeiras (AL),Geográfica
Canal Manganga,Geográfica
"Canal Mangueira (Vitória de Santo Antão, PE)",Geográfica
Canal Manguinhos (RJ),Geográfica
Canal Manguinhos-Raiz da Serra (RJ),Geográfica
Canal Maracaju (MS),Geográfica
Canal Maracujá (RJ),Geográfica
Canal Marambaia (RJ),Geográfica
Canal Marapendi (RJ),Geográfica
Canal Mariana Amélia (PE),Geográfica
Canal Marrecas (RJ),Geográfica
Canal Martins (RJ),Geográfica
Canal Maruí (PA),Geográfica
"Canal Mata Cachorro (Campos dos Goytacazes,RJ)",Geográfica
Canal Matadouro (SP),Geográfica
Canal Maternidade (AC),Geográfica
"Canal Mateus Nunes (Paraty, RJ)",Geográfica
Canal Matirumbide (MG),Geográfica
"Canal Mato da Canoa (Campos, RJ)",Geográfica
Canal Maurícia,Geográfica
"Canal Mecejana (Boa Vista, RR)",Geográfica
Canal Meriti (RJ),Geográfica
Canal Mimbuca (RJ),Geográfica
Canal Mimiro (RJ),Geográfica
Canal Mineiros (RJ),Geográfica
Canal Minerisol (RJ),Geográfica
"Canal Miranda (Boa Vista, RR)",Geográfica
"Canal Mirandinha (Boa Vista, RR)",Geográfica
Canal Mololô (RJ),Geográfica
Canal Mombuca (RJ),Geográfica
"Canal Monte Azul (Macaé, RJ)",Geográfica
"Canal Monte do Cedro (Campos dos Goytacazes, RJ)",Geográfica
"Canal Monteiro (Monteiro, PB)",Geográfica
Canal Monteiro (PB),Geográfica
"Canal Morobá (Campos dos Goytacazes, RJ)",Geográfica
Canal Morro do Rato (RJ),Geográfica
Canal Mulaco (RJ),Geográfica
Canal Mulungu (PE),Geográfica
Canal Muqui do Norte (ES),Geográfica
Canal Muqui do Sul (ES),Geográfica
"Canal Murilo (Campos dos Goytacazes, RJ)",Geográfica
"Canal Mussurepe (Campos dos Goytacazes, RJ)",Geográfica
"Canal Nicolau (Campos dos Goytacazes, RJ)",Geográfica
Canal Norte-Sul (RO),Geográfica
Canal Nova Brasília (RJ),Geográfica
Canal Novo,Geográfica
Canal Olaria (RJ),Geográfica
Canal Onça-Desterro (RJ),Geográfica
Canal Ouro (RJ),Geográfica
Canal Paiaguás,Geográfica
Canal Palha de Arroz (PI),Geográfica
Canal Palhal (Localização),Geográfica
Canal Palmital (GB),Geográfica
Canal Papucaia (RJ),Geográfica
Canal Paquequer (RJ),Geográfica
"Canal Paracatu (Campos dos Goytacazes, RJ)",Geográfica
Canal Paracatu (MG),Geográfica
Canal Paraibuna (MG),Geográfica
"Canal Parque do Rosário (Campos dos Goytacazes, RJ)",Geográfica
Canal Partido (RJ),Geográfica
Canal Passa Quatro (MG),Geográfica
Canal Passarinho (RJ),Geográfica
Canal Passarinho II (RJ),Geográfica
Canal Pau Ferro (RJ),Geográfica
Canal Pau Funcho (RJ),Geográfica
"Canal Pau Grande (Campos dos Goytacazes, RJ)",Geográfica
Canal Pavuna (RJ),Geográfica
"Canal Pecuária (Campos dos Goytacazes, RJ)",Geográfica
"Canal Pedra do Alecrim (Campos dos Goytacazes, RJ)",Geográfica
Canal Pedra Negra (RJ),Geográfica
Canal Pedra Vermelha,Geográfica
Canal Pedreira (RJ),Geográfica
Canal Pedroza,Geográfica
Canal Peixoto (RJ),Geográfica
"Canal Pensamento (Campos dos Goytacazes, RJ)",Geográfica
Canal Peres,Geográfica
"Canal Peri Peri (Nilópolis, RJ)",Geográfica
Canal Pesqueira (PE),Geográfica
Canal Petrópolis (RJ),Geográfica
Canal Piabanha (RJ),Geográfica
Canal Piabas (PB),Geográfica
Canal Piabetá (RJ),Geográfica
Canal Piaí (RJ),Geográfica
Canal Piau (MG),Geográfica
"Canal Pimenta (Campos dos Goytacazes, RJ)",Geográfica
Canal Piranema (RJ),Geográfica
Canal Pium (MG),Geográfica
Canal Piumhi (MG),Geográfica
Canal Ponte Branca (RJ),Geográfica
Canal Ponte Nova (RJ),Geográfica
"Canal Portelo (Rio de Janeiro, RJ)",Geográfica
Canal Portinho (RJ),Geográfica
Canal Pouca Vergonha (MA),Geográfica
Canal Poxim-Açu (BA),Geográfica
Canal Praia,Geográfica
"Canal Prainha (Cuiabá, MT)",Geográfica
Canal Preguiça (RJ),Geográfica
"Canal Principal (Juazeiro, BA)",Geográfica
Canal Príncipe Dom Affonso (RS e SC),Geográfica
"Canal Quartel do Bugre (São Vicente, SP)",Geográfica
Canal Quebra Coco,Geográfica
Canal Queimado,Geográfica
Canal Quimbira,Geográfica
"Canal Quissamã (Macaé, RJ)",Geográfica
Canal Quissamã (RJ),Geográfica
Canal Quitinguta (RJ),Geográfica
"Canal Quixaba (Campos dos Goytacazes, RJ)",Geográfica
Canal Rabelo (RJ),Geográfica
Canal Ramildo (RJ),Geográfica
Canal Rangel,Geográfica
Canal Reduto (PA),Temática
"Canal Reginaldo (Maceió, AL)",Geográfica
Canal Riacho (ES),Geográfica
"Canal Riacho do Mel (Arcoverde, PE)",Geográfica
Canal Riacho do Mel (PE),Geográfica
Canal Riacho do Ouro (CE),Geográfica
Canal Ribeirão Água Quente (SP),Geográfica
Canal Rio das Ostras (RJ),Geográfica
Canal Rio Novo,Geográfica
Canal Rio Novo ao Rio do Pinto (ES),Geográfica
"Canal Rio Paraíba do Sul-Lagoa Feia (Campos dos Goytacazes, RJ)",Geográfica
Canal Robert Kennedy (RJ),Geográfica
Canal Rocas (RN),Geográfica
Canal Rocha Leão (RJ),Geográfica
"Canal Roncador (Magé, RJ)",Geográfica
"Canal Sairu (Campos dos Goytacazes, RJ)",Geográfica
Canal Salgado (PE),Geográfica
Canal Salgado (RJ),Geográfica
Canal Salinas (ES),Geográfica
Canal Salinas (RJ),Geográfica
Canal Sambaituba (SP),Geográfica
Canal Santa Bárbara (RJ),Geográfica
"Canal Santa Cruz (Campos dos Goytacazes, RJ)",Geográfica
Canal Santa Lúcia (RJ),Geográfica
Canal Santa Luiza (localização),Geográfica
Canal Santa Luzia (PB),Geográfica
"Canal Santa Maria (Campos dos Goytacazes, RJ)",Geográfica
"Canal Santa Maria (Rio de Janeiro, RJ)",Geográfica
Canal Santa Maria (RJ),Geográfica
"Canal Santa Marta (Campos dos Goytacazes, RJ)",Geográfica
Canal Santa Mônica (RJ),Geográfica
Canal Santa Rosa (RJ),Geográfica
"Canal Santana (Paracambi, RJ)",Geográfica
Canal Santana (RJ),Geográfica
Canal Santo Agostinho (RJ),Geográfica
Canal Santo Amaro (RJ),Geográfica
Canal Santo Antão (RJ),Geográfica
"Canal Santo Antonio (Itaocara, RJ)",Geográfica
Canal Santo Antônio (RJ),Geográfica
Canal Santo Antonio do Imbé (RJ),Geográfica
"Canal São Bento (Campos dos Goytacazes, RJ)",Geográfica
"Canal São Cristóvão (Araruama, RJ)",Geográfica
Canal São Cristóvão (RJ),Geográfica
"Canal São Fernando (Rio de Janeiro, RJ)",Geográfica
"Canal São Francisco (Campos dos Goytacazes, RJ)",Geográfica
Canal São Francisco (ES),Geográfica
"Canal São Francisco (Rio de Janeiro, RJ)",Geográfica
Canal São Francisco-Jaguaribe,Geográfica
Canal São Geraldo,Geográfica
"Canal São Geraldo (Conceição, PB)",Geográfica
Canal São Geraldo (RJ),Geográfica
Canal São Gonçalo (RS),Geográfica
Canal São João,Geográfica
Canal São João (RJ),Geográfica
Canal São João do Rio Morto (RJ),Geográfica
Canal São Joaquim (CE),Geográfica
Canal São Joaquim (PA),Geográfica
"Canal São Jorge (Santos, SP)",Geográfica
Canal São José,Geográfica
"Canal São José (Parnaíba, PI)",Geográfica
Canal São José (RJ),Geográfica
Canal São Luís (RJ),Geográfica
"Canal São Manuel (Santos, SP)",Geográfica
"Canal São Marcelino (Campos dos Goytacazes, RJ)",Geográfica
Canal São Miguel (RJ),Geográfica
Canal São Pedro,Geográfica
"Canal São Pedro (Araripina, PE)",Geográfica
Canal São Pedro (RJ),Geográfica
Canal São Roque,Geográfica
Canal São Sebastião (RJ),Geográfica
Canal Sapateiro (RJ),Geográfica
Canal Sapezal (RJ),Geográfica
"Canal Sapucaia (Campos dos Goytacazes, RJ)",Geográfica
Canal Sapucaia (RJ),Geográfica
"Canal Saquarema - Rio das Moças (Saquarema, RJ)",Geográfica
"Canal Saquarema (Campos dos Goytacazes, RJ) - Geologia",Temática
"Canal Saracuruna (Duque de Caxias, RJ)",Geográfica
"Canal Sarapó (Nova Iguaçu, RJ)",Geográfica
Canal Sarapuí (RJ),Geográfica
Canal Satornino de Brito,Geográfica
"Canal Segredo (Campo Grande, MS)",Geográfica
Canal Segredo (MT),Geográfica
Canal Sernambetiba (RJ),Geográfica
Canal Sesse (RJ),Geográfica
Canal Siqueira (RJ),Geográfica
Canal Sítio (RJ),Geográfica
Canal Sorocaba (SP),Geográfica
Canal Sucupira (RJ),Geográfica
Canal Suruí (MG),Geográfica
Canal Suruí (RJ),Geográfica
Canal Taboão (RJ),Geográfica
Canal Tacaruna (PE),Geográfica
Canal Taí da Praia (RJ),Geográfica
"Canal Tamandaré (Belém, PA)",Geográfica
Canal Tapera (RJ),Geográfica
Canal Taquara (RJ),Geográfica
"Canal Tartarugas (Ilha de Marajó, PA)",Geográfica
Canal Tatu (RJ),Geográfica
Canal Tauape (CE),Geográfica
"Canal Teimoso (Macaé, RJ)",Geográfica
"Canal Teotônio (Campos dos Goytacazes, RJ)",Geográfica
Canal Timbó (RJ),Geográfica
Canal Todos os Santos (RJ),Geográfica
"Canal Todos os Santos (Teófilo Otoni, MG)",Geográfica
Canal Tramandaizinho (SE),Geográfica
Canal Trapiche (RJ),Geográfica
Canal Tuiú (RJ),Geográfica
"Canal Urubu (Campos dos Goytacazes, RJ)",Geográfica
"Canal Urubu (Rio de Janeiro, RJ)",Geográfica
Canal Ururaí,Geográfica
"Canal Ururaí (Campos dos Goytacazes, RJ)",Geográfica
